match_id,h_team,a_team,h_goals,a_goals,h_xg,a_xg,datetime_str,league,season
29046,Tottenham,Arsenal,1,4,0.38326,3.31701,2026-02-22 16:30:00,,2025
29042,Everton,Manchester United,0,1,0.56092,1.4547,2026-02-23 20:00:00,,2025
